rang_bundesweit,verein,verband,gebiet,ligastufe,spielklasse,staffel,staffel_id,platz_in_staffel,spiele,siege,unentschieden,niederlagen,tore,gegentore,tordifferenz,punkte,punkte_pro_spiel,rangaenderung_vorwoche,quelle
142,TUS Lintorf 1m,Handball Nordrhein,Handball Nordrhein,4,Regionalliga,Regionalliga Männer,12902,12,0,0,0,0,0,0,0,0,0.0,,handball.net
143,TV Aldekerk,Handball Nordrhein,Handball Nordrhein,4,Regionalliga,Regionalliga Männer,12902,13,0,0,0,0,0,0,0,0,0.0,,handball.net
144,TV Korschenbroich 1. Herren,Handball Nordrhein,Handball Nordrhein,4,Regionalliga,Regionalliga Männer,12902,14,0,0,0,0,0,0,0,0,0.0,,handball.net
145,Soester TV VON 1862 E.V.,Handballverband Westfalen,Handballverband Westfalen,4,Regionalliga,HVW Männer Regionalliga,12649,11,2,0,0,2,49,51,-2,0,0.0,,handball.net
146,SG Flensburg-Handewitt II,Handballregion-Nord,Handballregion-Nord,4,Regionalliga,Meisterrunde,13540,10,2,0,0,2,58,62,-4,0,0.0,,handball.net
147,CVJM Rödinghausen E.V.,Handballverband Westfalen,Handballverband Westfalen,4,Regionalliga,HVW Männer Regionalliga,12649,12,2,0,0,2,63,69,-6,0,0.0,,handball.net
148,HT Norderstedt,Handballregion-Nord,Handballregion-Nord,4,Regionalliga,Meisterrunde,13540,11,2,0,0,2,26,33,-7,0,0.0,,handball.net
149,Handball Mülheim-Urmitz,REGIONALLIGA SüDWEST,REGIONALLIGA SüDWEST,4,Regionalliga,RLSW-M,13248,13,3,0,0,3,84,101,-17,0,0.0,,handball.net
150,HC Westfalia Herne E.V.,Handballverband Westfalen,Handballverband Westfalen,4,Regionalliga,HVW Männer Regionalliga,12649,13,2,0,0,2,62,74,-12,0,0.0,,handball.net
151,HTV Hemer,Handballverband Westfalen,Handballverband Westfalen,4,Regionalliga,HVW Männer Regionalliga,12649,14,2,0,0,2,54,67,-13,0,0.0,,handball.net
152,VTV Mundenheim,REGIONALLIGA SüDWEST,REGIONALLIGA SüDWEST,4,Regionalliga,RLSW-M,13248,12,2,0,0,2,45,61,-16,0,0.0,,handball.net
153,TSV Weddingstedt,Handballregion-Nord,Handballregion-Nord,4,Regionalliga,Meisterrunde,13540,13,3,0,0,3,81,107,-26,0,0.0,,handball.net
154,TV Nieder-Olm,REGIONALLIGA SüDWEST,REGIONALLIGA SüDWEST,4,Regionalliga,RLSW-M,13248,14,2,0,0,2,56,76,-20,0,0.0,,handball.net
155,AMTV Hamburg,Handballregion-Nord,Handballregion-Nord,4,Regionalliga,Meisterrunde,13540,12,2,0,0,2,47,68,-21,0,0.0,,handball.net
156,Ahrensburger TSV,Handballregion-Nord,Handballregion-Nord,4,Regionalliga,Meisterrunde,13540,14,3,0,0,3,56,117,-61,0,0.0,,handball.net
